community_id,tool_id,amount_of_bugs_reported,amount_of_bugs_solved,amount_of_changes_commited,amount_of_discussions
1,1729,12640,11480,16149,
1,1730,10011,9655,3590,
1,1731,144,144,700,
1,1732,6585,6214,6413,
1,1733,21401,21029,13433,
1,1734,102,82,390,
1,1735,72,46,745,
1,1736,5587,5582,11472,
1,1737,1021,964,1230,
1,1738,360,358,984,
1,1739,370,164,91,
1,1740,12670,12283,20499,
1,1741,5626,25,1771,
1,1742,5587,4474,3031,
1,1743,5366,5168,5179,
1,1744,241,233,462,
1,1745,16,4,51,
1,1746,1559,1067,361,
1,1747,33,32,218,
1,1748,4260,3368,13099,
1,1749,382,209,165,
1,1750,1037,984,4906,
1,1751,593,477,1728,
1,1752,410,337,1174,
1,1753,790,620,3064,
1,1754,317,172,437,
1,1755,241,216,215,
1,1756,11,7,34,
1,1757,85,77,323,
1,1758,22,21,463,
1,1759,4826,4031,2572,
1,1760,72,27,52,
1,1761,178,152,268,
1,1762,23,23,638,
1,1763,266,258,2902,
1,1764,280,111,557,
1,1765,39,12,451,
1,1766,1780,1746,3395,
1,1767,932,894,6795,
1,1768,469,387,665,
1,1769,1189,43,390,
1,1770,16,14,371,
1,1771,692,674,5026,
1,1772,226,135,5908,
1,1773,699,556,3516,
1,1774,147,72,314,
1,1775,448,294,958,
1,1776,72,4,45,
1,1777,135,64,918,
1,1778,1878,1874,1574,
1,1779,46,20,262,
1,1780,2335,1849,6346,
1,1781,6,6,27,
1,1782,16,4,40,
1,1783,387,332,1550,
1,1784,457,451,2638,
1,1785,120,100,243,
1,1786,13,7,478,
1,1787,71,69,2355,
1,1788,528,528,100,
1,1789,25,22,122,
1,1790,5,5,222,
1,1791,2,2,209,
1,1792,43,28,241,
1,1793,8,1,1,
1,1794,29,7,28,
1,1795,294,198,1957,
1,1796,249,226,559,
1,1797,16,13,223,
1,1798,77,47,4163,
1,1799,329,230,207,
1,1800,13,13,483,
1,1801,3,1,24,
1,1802,6965,6616,12645,
1,1803,9,4,39,
1,1804,3,2,19,
1,1805,94,89,541,
1,1806,323,284,948,
1,1807,438,432,899,
1,1808,10,8,160,
1,1809,44,2,1176,
1,1810,276,211,604,
1,1811,146,138,887,
1,1812,85,2,166,
1,1813,207,203,7756,
1,1814,139,135,174,
1,1815,1,0,44,
1,1816,10,4,55,
1,1817,162,106,324,
1,1818,3200,2831,12010,
1,1819,32,17,42,
1,1820,1000,171,3348,
1,1821,63,63,5052,
1,1822,0,0,123,
1,1823,36,9,90,
1,1824,12,12,204,
1,1825,4,1,69,
1,1826,17,13,1733,
1,1827,11,8,349,
1,1828,149,149,4194,
1,1829,260,220,197,
1,1830,87,50,270,
1,1831,199,171,519,
1,1832,42,6,37,
1,1833,98,61,906,
1,1834,36,35,621,
1,1835,4,4,170,
1,1836,89,49,1369,
1,1837,103,62,755,
1,1838,26,16,1803,
1,1839,1600,148,2713,
1,1840,21,14,183,
1,1841,104,94,502,
1,1842,494,417,771,
1,1843,5,5,130,
1,1844,9,7,267,
1,1845,55,52,858,
1,1846,406,292,303,
1,1847,36,11,26,
1,1848,5,3,157,
1,1849,62,59,492,
1,1850,29,27,265,
1,1851,69,13,59,
1,1852,0,0,501,
1,1853,77,52,1084,
1,1854,1661,1413,6581,
1,1855,0,0,17,
1,1856,128,103,117,
1,1857,1,1,51,
1,1858,22,17,96,
1,1859,139,108,367,
1,1860,55,55,983,
1,1861,113,110,1064,
1,1862,217,118,83,
1,1863,37,31,3138,
1,1864,37,3,20,
1,1865,347,275,212,
1,1866,253,221,619,
1,1867,74,59,267,
1,1868,14,12,406,
1,1869,165,157,652,
1,1870,28,14,86,
1,1871,352,342,3535,
1,1872,1,0,12,
1,1873,3,1,180,
1,1874,6,2,164,
1,1875,5,2,237,
1,1876,141,126,277,
1,1877,9,6,77,
1,1878,238,195,892,
1,1879,58,8,77,
1,1880,104,69,201,
1,1881,310,186,1834,
1,1882,27,7,4,
1,1883,115,85,892,
1,1884,24,24,595,
1,1885,517,412,9320,
1,1886,44,39,422,
1,1887,19,10,116,
1,1888,4,3,182,
1,1889,98,69,84,
1,1890,5,4,113,
1,1891,5,5,1078,
1,1892,82,59,814,
1,1893,6,5,98,
1,1894,327,225,798,
1,1895,70,68,167,
1,1896,1,0,61,
1,1897,16,14,40,
1,1898,5,2,101,
1,1899,461,439,2174,
1,1900,9,9,59,
1,1901,2,2,148,
1,1902,4,4,179,
1,1903,10,6,99,
1,1904,333,218,587,
1,1905,1,1,97,
1,1906,785,661,757,
1,1907,4,3,224,
1,1908,115,111,1228,
1,1909,87,71,1176,
1,1910,3262,2605,18363,
1,1911,72,46,745,
1,1912,1121,1086,1226,
1,1913,370,164,91,
1,1914,4453,4082,4333,
1,1915,260,202,718,
1,1916,16,4,51,
1,1917,382,209,165,
1,1918,3421,3417,5968,
1,1919,52,50,503,
1,1920,511,421,1550,
1,1921,748,678,5829,
1,1922,52,13,181,
1,1923,10266,10234,72,
1,1924,16,14,371,
1,1925,4,3,14,
1,1926,381,338,4254,
1,1927,1132,875,2572,
1,1928,16,4,40,
1,1929,449,416,1425,
1,1930,2681,2446,34921,
1,1931,141,103,1056,
1,1932,3155,2761,6549,
1,1933,15,3,309,
1,1934,29,7,28,
1,1935,249,226,559,
1,1936,25,17,130,
1,1937,72,50,750,
1,1938,11,0,36,
1,1939,349,223,500,
1,1940,701,561,1282,
1,1941,75,38,1132,
1,1942,2479,2415,8611,
1,1943,1,0,44,
1,1944,120,50,222,
1,1945,405,178,9645,
