employee_id,tool_id,years_of_experience
1,1729,1
1,1730,6
1,1731,9
1,1732,3
1,1733,1
1,1734,6
1,1735,4
1,1736,5
1,1737,4
1,1738,9
1,1739,8
1,1740,3
1,1741,8
1,1742,5
1,1743,7
1,1744,1
1,1745,7
1,1746,6
1,1747,5
1,1748,6
1,1749,9
1,1750,9
1,1751,1
1,1752,0
1,1753,0
1,1754,7
1,1755,6
1,1756,3
1,1757,5
1,1758,8
1,1759,1
1,1760,5
1,1761,0
1,1762,6
1,1763,0
1,1764,1
1,1765,3
1,1766,1
1,1767,0
1,1768,3
1,1769,7
1,1770,3
1,1771,6
1,1772,9
1,1773,4
1,1774,1
1,1775,9
1,1776,1
1,1777,1
1,1778,6
1,1779,8
1,1780,4
1,1781,0
1,1782,9
1,1783,4
1,1784,7
1,1785,9
1,1786,7
1,1787,6
1,1788,3
1,1789,1
1,1790,4
1,1791,1
1,1792,3
1,1793,0
1,1794,8
1,1795,5
1,1796,5
1,1797,5
1,1798,3
1,1799,7
1,1800,6
1,1801,3
1,1802,5
1,1803,7
1,1804,4
1,1805,9
1,1806,0
1,1807,9
1,1808,7
1,1809,8
1,1810,9
1,1811,4
1,1812,6
1,1813,8
1,1814,4
1,1815,9
1,1816,1
1,1817,4
1,1818,6
1,1819,7
1,1820,4
1,1821,5
1,1822,6
1,1823,0
1,1824,0
1,1825,2
1,1826,4
1,1827,7
1,1828,0
1,1829,2
1,1830,5
1,1831,4
1,1832,8
1,1833,1
1,1834,0
1,1835,9
1,1836,9
1,1837,8
1,1838,1
1,1839,9
1,1840,7
1,1841,4
1,1842,4
1,1843,9
1,1844,6
1,1845,9
1,1846,6
1,1847,6
1,1848,2
1,1849,5
1,1850,7
1,1851,3
1,1852,8
1,1853,2
1,1854,7
1,1855,8
1,1856,5
1,1857,9
1,1858,6
1,1859,2
1,1860,3
1,1861,2
1,1862,8
1,1863,5
1,1864,9
1,1865,7
1,1866,7
1,1867,7
1,1868,0
1,1869,0
1,1870,0
1,1871,1
1,1872,0
1,1873,7
1,1874,7
1,1875,0
1,1876,7
1,1877,1
1,1878,2
1,1879,4
1,1880,8
1,1881,4
1,1882,4
1,1883,8
1,1884,1
1,1885,8
1,1886,6
1,1887,3
1,1888,7
1,1889,9
1,1890,6
1,1891,1
1,1892,4
1,1893,4
1,1894,8
1,1895,6
1,1896,7
1,1897,6
1,1898,9
1,1899,3
1,1900,1
1,1901,8
1,1902,4
