tool_id,date_id,version,interest_levels,change_type
2649,9,v18.2.0,,patch
2650,9,v2.7.16,,same
2651,9,v1.0,,non-semantic
2652,9,v5.1.0-beta.0,,patch
2653,9,v7.6.5-nightly.20240116,,same
2654,9,v.1.0,,non-semantic
2655,9,,,
2656,9,,,
2657,9,v0.0.164,,same
2658,9,289,,non-semantic
2659,9,,,
2660,9,,,
2661,9,v2.0.0,,same
2662,9,3.5.4,,patch
2663,9,4.1.0,,patch
2664,9,v0.6.0,,patch
2665,9,,,
2666,9,editor%403.2.2,,patch
2667,9,,,
2668,9,v6.0.0,,patch
2669,9,0.5.0,,patch
2670,9,marko%405.32.6,,patch
2671,9,v1.1.0,,patch
2672,9,4.9.1,,patch
2673,9,vue-calendar%402.1.3,,same
2674,9,0.15.2.0,,patch
2675,9,,,
2676,9,,,
2677,9,1.0.0,,same
2678,9,,,
2679,9,17.1.0,,patch
2680,9,stablestudio-v0.1.0,,patch
2681,9,,,
2682,9,0.9.9,,patch
2683,9,2.17.2,,patch
2684,9,v2023.12.21-5ed3693,,patch
2685,9,,,
2686,9,v4.1.3,,patch
2687,9,v2.0.0-alpha.7,,same
2688,9,v2.3.0,,patch
2689,9,,,
2690,9,2019-chinese,,non-semantic
2691,9,v1.4.11,,patch
2692,9,%40builder.io%2Fsdk-vue%400.10.0,,same
2693,9,vite-plugin-imba%400.10.1,,patch
2694,9,,,
2695,9,v1.0.0,,patch
2696,9,,,
2697,9,,,
2698,9,,,
2699,9,,,
2700,9,v3.8.4,,patch
2701,9,,,
2702,9,,,
2703,9,,,
2704,9,3.14.1,,patch
2705,9,1.3,,non-semantic
2706,9,,,
2707,9,,,
2708,9,,,
2709,9,,,
2710,9,,,
2711,9,,,
2712,9,v0.0.33,,patch
2713,9,,,
2714,9,,,
2715,9,v2.17.0,,patch
2716,9,,,
2717,9,,,
2718,9,,,
2719,9,0.2.0,,patch
2720,9,,,
2721,9,,,
2722,9,20240112.0,,non-semantic
2723,9,,,
2724,9,,,
2725,9,v10.0.0,,patch
2726,9,v8.8.4,,patch
2727,9,v2.4.0,,patch
2728,9,4.9.41,,patch
2729,9,,,
2730,9,v0.17.0-rc.0,,patch
2731,9,v3.0.1,,patch
2732,9,,,
2733,9,59af16e,,non-semantic
2734,9,v0.0.7,,patch
2735,9,,,
2736,9,,,
2737,9,,,
2738,9,6.10.12,,patch
2739,9,,,
2740,9,v4.7.0,,patch
2741,9,V15.5,,same
2742,9,,,
2743,9,0.0.2,,patch
2744,9,0.99,,non-semantic
2745,9,v1.1.0,,patch
2746,9,v10.0.0,,patch
2747,9,2.0.1,,patch
2748,9,,,
2749,9,3.0.5,,patch
2750,9,v1.0.0-beta.24,,same
2751,9,1.31,,non-semantic
2752,9,v1.0,,non-semantic
2753,9,v0.3.1,,patch
2754,9,v4.1.0,,patch
2755,9,v1.0,,non-semantic
2756,9,,,
2757,9,,,
2758,9,v1.0.0,,patch
2759,9,,,
2760,9,1.3.11,,patch
2761,9,v3.0.1,,patch
2762,9,v14.5.2,,patch
2763,9,v0.2.4,,patch
2764,9,v1.0,,non-semantic
2765,9,,,
2766,9,v2.7.3,,patch
2767,9,,,
2768,9,,,
2769,9,,,
2770,9,v1.1.0,,same
2771,9,,,
2772,9,,,
2773,9,,,
2774,9,9.3.2,,patch
2775,9,v1.0.0,,patch
2776,9,v2.2.1,,patch
2777,9,,,
2778,9,,,
2779,9,v0.4.0,,patch
2780,9,,,
2781,9,ver2.1,,non-semantic
2782,9,17.0.0-alpha.1,,patch
2783,9,,,
2784,9,,,
2785,9,9.0.0,,patch
2786,9,v0.15.5,,patch
2787,9,,,
2788,9,,,
2789,9,v15.1.0,,patch
2790,9,,,
2791,9,v1.4.3,,patch
2792,9,,,
2793,9,,,
2794,9,,,
2795,9,,,
2796,9,v2.5.0,,patch
2797,9,,,
2798,9,3.2.1,,patch
2799,9,,,
2800,9,,,
2801,9,,,
2802,9,2.4.1,,patch
2803,9,,,
2804,9,2.1,,non-semantic
2805,9,v2.0.0-beta.9,,same
2806,9,v1.4.0,,patch
2807,9,,,
2808,9,,,
2809,9,,,
2810,9,1.4.13,,same
