project_id,project_name,downloads,contributors,searches
1229,react,10062924,1645,
1230,vue,1941004,365,
1231,Front-End-Checklist,,114,
1232,vite,3999641,888,
1233,ionic-framework,112,471,
1234,frontend-dev-bookmarks,,102,
1235,awesome-cheatsheets,,130,
1236,gold-miner,8,539,
1237,quivr,79,97,
1238,weekly,,74,
1239,GitHubDaily,,4,
1240,expo,240571,1184,
1241,fe-interview,36,6,
1242,iview,3348,157,
1243,ant-design-vue,41366,250,
1244,EasySpider,,6,
1245,Hello-Python,,,
1246,tui.editor,2,113,
1247,Front-End-Performance-Checklist,,44,
1248,amis,4415,200,
1249,full-stack-fastapi-postgresql,,23,
1250,marko,74853,119,
1251,TW-Elements,,129,
1252,tachyons,25864,66,
1253,tui.calendar,,24,
1254,gdbgui,3380,44,
1255,material-design-for-bootstrap,,19,
1256,Awsome-Front-End-learning-resource,,3,
1257,gremlins.js,1169,22,
1258,frontend-stuff,,66,
1259,ng-zorro-antd,33216,262,
1260,StableStudio,,6,
1261,vue-enterprise-boilerplate,,29,
1262,growth-ebook,,21,
1263,Hippy,,82,
1264,it-tools,0,32,
1265,frontend-case-studies,,14,
1266,backbone.marionette,,354,
1267,hospitalrun-frontend,,240,
1268,zeroclipboard,4661,52,
1269,FE-Interview,,3,
1270,developer-roadmap-chinese,,,
1271,nicegui,12472,73,
1272,builder,265,74,
1273,imba,1017,32,
1274,alternative-front-ends,,32,
1275,papercups,,49,
1276,FrontEndGitHub,,3,
1277,nerv,4,16,
1278,webpacker,,448,
1279,TNT-Weekly,,6,
1280,AmazeFileManager,,137,
1281,Front-End-Design-Checklist,,7,
1282,codefather,,5,
1283,reagent,3,83,
1284,san,364,45,
1285,webhook.site,,13,
1286,Front-End-Web-Development-Resources,,119,
1287,telegram-list,,360,
1288,forum,,21,
1289,front-end-handbook-2019,,21,
1290,javascript-code-challenges,,24,
1291,mometa,,2,
1292,frontend-learning-kit,,20,
1293,pattern.css,1011,,
1294,mianshiya-public,,2,
1295,create-react-app-typescript,,472,
1296,roadmaps,,161,
1297,react-fontawesome,,45,
1298,awesome-jupyter,,83,
1299,plasmic,3,25,
1300,visualization-collection,0,,
1301,frontend-tech-list,,,
1302,frontend,5613,517,
1303,webpack-libs-optimizations,,9,
1304,ui-buttons,,3,
1305,rfs,7174,16,
1306,smooth-scrollbar,13987,23,
1307,OverlayScrollbars,,10,
1308,localResizeIMG,,6,
1309,FrontEndCollection,,3,
1310,redux-orm,2298,29,
1311,mini.css,663,21,
1312,blogs,,,
1313,hop,5,15,
1314,fe-interview,36,8,
1315,free-programming-resources,,2,
1316,guiadofrontend,,,
1317,neo,4978,30,
1318,vecty,,17,
1319,hiper,4,9,
1320,ViewUI,,168,
1321,Jailer,,4,
1322,awesome-casestudy,,9,
1323,code-nav,,6,
1324,growth-in-action,,8,
1325,img2css,,4,
1326,OverVue,,42,
1327,omatsuri,,7,
1328,webpack-book,1,52,
1329,meli,0,8,
1330,vue-fontawesome,782,37,
1331,ansible-cmdb,464,19,
1332,the-front-end-knowledge-you-may-not-know,,2,
1333,jest-preview,44173,24,
1334,cli,692814,12,
1335,devmap,,8,
1336,userbase,2,12,
1337,percy,8153,25,
1338,webapp.rs,,11,
1339,frontendDaily,,2,
1340,react-imgpro,88,4,
1341,blaze,2924,18,
1342,user-event,1317,98,
1343,bttn.css,,3,
1344,fe,4,8,
