community_id,tool_id,amount_of_bugs_reported,amount_of_bugs_solved,amount_of_changes_commited,amount_of_discussions
1,2649,12643,11482,16153,
1,2650,10011,9655,3590,
1,2651,144,144,700,
1,2652,6592,6226,6427,
1,2653,21405,21036,13438,
1,2654,102,82,390,
1,2655,73,46,745,
1,2656,5587,5582,11472,
1,2657,1024,967,1237,
1,2658,360,358,984,
1,2659,371,164,91,
1,2660,12687,12309,20530,
1,2661,5630,25,1773,
1,2662,5587,4474,3031,
1,2663,5372,5176,5185,
1,2664,242,239,462,
1,2665,16,4,51,
1,2666,1559,1067,361,
1,2667,33,32,218,
1,2668,4276,3373,13125,
1,2669,382,209,165,
1,2670,1037,984,4906,
1,2671,595,485,1728,
1,2672,410,337,1174,
1,2673,790,620,3064,
1,2674,317,172,437,
1,2675,241,216,215,
1,2676,11,7,34,
1,2677,85,77,323,
1,2678,22,21,463,
1,2679,4827,4033,2572,
1,2680,72,27,52,
1,2681,178,152,268,
1,2682,23,23,638,
1,2683,267,258,2903,
1,2684,283,111,557,
1,2685,39,12,451,
1,2686,1780,1746,3395,
1,2687,932,894,6795,
1,2688,469,387,665,
1,2689,1189,43,390,
1,2690,16,14,371,
1,2691,694,679,5033,
1,2692,226,135,5911,
1,2693,699,556,3518,
1,2694,147,73,314,
1,2695,448,294,958,
1,2696,72,4,45,
1,2697,135,64,918,
1,2698,1878,1874,1574,
1,2699,46,20,262,
1,2700,2337,1852,6346,
1,2701,6,6,27,
1,2702,17,4,40,
1,2703,387,332,1550,
1,2704,457,451,2639,
1,2705,120,100,243,
1,2706,13,7,478,
1,2707,71,69,2355,
1,2708,528,528,100,
1,2709,25,22,122,
1,2710,5,5,222,
1,2711,2,2,209,
1,2712,43,28,241,
1,2713,8,1,1,
1,2714,29,7,28,
1,2715,294,198,1957,
1,2716,249,226,559,
1,2717,78,47,4173,
1,2718,16,13,223,
1,2719,329,230,207,
1,2720,13,13,485,
1,2721,3,1,24,
1,2722,6979,6640,12677,
1,2723,9,4,39,
1,2724,3,2,19,
1,2725,94,89,541,
1,2726,323,284,948,
1,2727,438,433,899,
1,2728,10,8,160,
1,2729,44,2,1176,
1,2730,276,211,604,
1,2731,146,138,887,
1,2732,85,2,166,
1,2733,207,203,7756,
1,2734,139,135,174,
1,2735,1,0,44,
1,2736,10,4,55,
1,2737,162,106,324,
1,2738,3200,2831,12013,
1,2739,32,17,42,
1,2740,1001,171,3348,
1,2741,63,63,5052,
1,2742,0,0,123,
1,2743,36,9,90,
1,2744,12,12,204,
1,2745,4,1,69,
1,2746,17,13,1733,
1,2747,11,8,349,
1,2748,149,149,4194,
1,2749,260,220,197,
1,2750,87,50,270,
1,2751,199,171,519,
1,2752,42,6,37,
1,2753,98,61,906,
1,2754,36,35,621,
1,2755,4,4,170,
1,2756,89,49,1369,
1,2757,103,62,755,
1,2758,26,16,1803,
1,2759,1603,148,2721,
1,2760,21,14,183,
1,2761,104,94,502,
1,2762,494,417,771,
1,2763,5,5,130,
1,2764,9,7,267,
1,2765,55,52,868,
1,2766,406,292,303,
1,2767,37,11,26,
1,2768,5,3,157,
1,2769,62,59,492,
1,2770,29,27,265,
1,2771,69,13,59,
1,2772,0,0,501,
1,2773,77,52,1084,
1,2774,1661,1413,6582,
1,2775,0,0,18,
1,2776,128,103,117,
1,2777,1,1,51,
1,2778,22,17,96,
1,2779,139,108,367,
1,2780,113,110,1064,
1,2781,55,55,983,
1,2782,217,118,83,
1,2783,37,31,3157,
1,2784,37,3,20,
1,2785,348,275,212,
1,2786,253,227,623,
1,2787,74,59,267,
1,2788,14,12,406,
1,2789,165,157,652,
1,2790,28,14,86,
1,2791,352,342,3535,
1,2792,1,0,12,
1,2793,3,1,180,
1,2794,6,2,164,
1,2795,5,2,237,
1,2796,141,126,277,
1,2797,9,6,77,
1,2798,238,195,892,
1,2799,58,8,77,
1,2800,104,69,201,
1,2801,310,186,1835,
1,2802,115,85,892,
1,2803,27,7,4,
1,2804,24,24,595,
1,2805,518,412,9321,
1,2806,44,39,422,
1,2807,19,10,116,
1,2808,4,3,185,
1,2809,87,71,1176,
1,2810,3271,2605,18363,
1,2811,73,46,745,
1,2812,1126,1091,1227,
1,2813,371,164,91,
1,2814,4455,4088,4341,
1,2815,260,202,718,
1,2816,16,4,51,
1,2817,382,209,165,
1,2818,3421,3418,5968,
1,2819,52,50,503,
1,2820,511,421,1550,
1,2821,748,678,5830,
1,2822,52,13,181,
1,2823,10270,10237,72,
1,2824,16,14,371,
1,2825,4,3,15,
1,2826,381,338,4254,
1,2827,1133,875,2572,
1,2828,17,4,40,
1,2829,449,416,1425,
1,2830,2681,2446,34921,
1,2831,141,103,1057,
1,2832,3157,2761,6551,
1,2833,15,3,309,
1,2834,29,7,28,
1,2835,249,226,559,
1,2836,25,17,130,
1,2837,72,50,750,
1,2838,11,0,36,
1,2839,349,223,501,
1,2840,701,562,1282,
1,2841,75,38,1132,
1,2842,2480,2416,8611,
1,2843,1,0,44,
1,2844,120,50,222,
1,2845,407,179,9648,
1,2846,173,167,1692,
1,2847,36,9,90,
1,2848,12,12,204,
1,2849,23,23,297,
1,2850,77,50,264,
1,2851,36,35,621,
1,2852,4,4,170,
1,2853,26,16,1803,
1,2854,11045,9017,37019,
1,2855,1,0,29,
1,2856,2,1,57,
1,2857,104,94,502,
1,2858,224,194,744,
1,2859,13,11,700,
1,2860,55,52,868,
1,2861,29,27,265,
1,2862,254,163,277,
1,2863,69,13,59,
1,2864,28,3,7,
1,2865,1,1,51,
1,2866,8,3,26,
1,2867,55,38,321,
1,2868,265,193,919,
1,2869,46,43,2123,
1,2870,519,362,1754,
1,2871,83,77,1631,
1,2872,6,2,164,
1,2873,2,1,165,
1,2874,3,2,20,
1,2875,326,326,334,
1,2876,64,61,1087,
1,2877,115,85,892,
1,2878,671,663,7620,
1,2879,48,35,115,
1,2880,24,24,595,
1,2881,82,61,749,
1,2882,5,5,1078,
1,2883,1,1,55,
1,2884,390,301,407,
1,2885,8,6,209,
1,2886,26,10,86,
1,2887,159,153,581,
1,2888,16,14,40,
1,2889,8,7,148,
1,2890,2,2,148,
1,2891,5,5,242,
1,2892,436,226,2806,
1,2893,86,83,316,
1,2894,20,20,37,
1,2895,2201,1995,37208,
1,2896,25,17,504,
1,2897,4285,3587,39376,
1,2898,297,234,920,
1,2899,8,8,379,
1,2900,14,14,251,
1,2901,25,13,104,
1,2902,21,9,193,
1,2903,109,98,1317,
1,2904,24,13,37,
1,2905,29,16,134,
1,2906,5,4,322,
1,2907,21,16,388,
1,2908,685,678,2933,
1,2909,6,4,449,
1,2910,93,89,1094,
1,2911,484,463,15140,
1,2912,3,2,31,
1,2913,146,111,2990,
1,2914,1,1,159,
1,2915,208,172,440,
1,2916,1,1,1844,
1,2917,60,57,854,
1,2918,14,5,317,
1,2919,21,21,207,
1,2920,60,44,282,
1,2921,773,686,942,
1,2922,18,12,188,
1,2923,68,43,168,
1,2924,419,398,2108,
1,2925,0,0,151,
1,2926,14,2,2833,
1,2927,158,119,489,
1,2928,11,9,74,
1,2929,4,2,35,
1,2930,50,33,345,
1,2931,36,33,1193,
1,2932,11,11,46,
1,2933,103,103,22,
1,2934,7,6,113,
1,2935,21,7,128,
